cod_orgao_julg;Median(numero_dias);Count*(npu)
28871;121;10
28872;1979;2
28873;132;4
28874;124;2
28876;1260;21
28877;2135;1
28878;1295;1
28879;1322;3
28881;2504;35
28883;147;14
28885;2528;7
28886;1817;1
28887;121;2
2889;135;1
28892;135;4
28898;149;3
28899;2329;2
28903;147;7
28905;119;2
28908;1244;82
28909;166;2
28910;1768;2
28912;127;2
28917;1678;1
2892;2158;404
28923;115;2
28926;134;10
28927;1811;3
28928;153;5
28929;1623;7
29005;647;109
29007;378;16
29008;412;17
29009;364;16
29010;336;16
29011;364;15
29012;413;20
2908;131;1
2909;124;1
2910;132;2
2912;2053;2
2915;1676;3
2918;152;2
2920;126;2
2924;156;1
29262;431;64
29263;1031;69
29264;889;86
29265;537;55
29266;691;118
29267;372;72
29268;321;44
29269;1151;56
29270;1579;43
29271;1365;185
29272;1449;44
29273;464;87
29274;466;80
29275;439;80
29276;518;103
29277;526;105
29278;396;131
29279;1319;233
29280;416;88
29281;418;104
29282;590;139
29283;604;106
29284;477;125
29285;929;79
29286;317;112
29287;306;84
29288;406;101
29289;315;93
29290;357;66
29291;483;60
29292;1716;75
29293;828;62
29294;532;43
29295;1655;105
29296;261;6
29297;1986;177
29298;1346;55
29299;1673;175
29300;396;9
29301;2090;68
29302;1339;62
29303;1476;77
29304;600;69
29305;466;35
29306;415;19
29307;1256;158
29308;402;163
29309;1693;156
29310;815;6
29313;798;2
29314;726;10
29315;686;8
29316;664;11
29317;1124;6
29318;753;13
29319;1067;5
29321;973;14
29322;872;11
29323;496;1
2934;126;3
2936;2251;6
2940;120;2
2947;159;1
2949;138;2
2954;147;1
2957;119;2
2959;120;5
2960;151;1
2967;142;13
2970;120;5
2971;119;1
2973;124;5
2975;215;1
2976;119;1
2980;123;2
2984;145;2
2986;166;1
2987;127;2
2989;146;2
299;180;1
29900;980;38
29901;154;6
29902;1169;1
29903;142;4
29904;143;3
29905;970;18
29906;779;4
29907;1045;8
29908;669;3
29909;748;5
2991;126;1
29910;970;8
29911;132;3
29912;930;31
29913;817;7
29914;816;7
29915;153;8
29916;1311;1
29917;159;6
29918;152;6
29919;649;13
29920;883;16
29921;880;4
29922;155;5
29923;960;30
29924;966;6
29925;1456;1
29926;872;13
29927;1107;4
29928;190;8
29929;127;2
29930;141;6
29931;763;2
29932;971;17
29933;656;1
29934;133;8
29935;183;7
29936;767;5
29937;931;5
29938;156;11
29939;752;9
29940;139;6
29941;810;19
29942;880;7
29943;880;33
29944;843;6
29945;1374;3
29946;150;4
29947;756;5
29948;1116;3
29949;936;6
29950;141;9
29952;351;4
29953;791;5
29954;821;7
29955;714;2
29956;1090;16
29957;739;3
29958;133;2
29959;131;4
29960;761;17
29961;678;5
29962;1114;15
29963;1177;7
29964;890;7
29965;872;15
29966;943;5
29967;162;5
29968;670;7
29969;908;42
29970;176;4
29971;649;8
29972;183;2
29973;164;5
29974;839;6
29975;630;4
29976;645;6
29977;848;9
29978;195;4
29979;181;6
29980;937;24
29981;763;10
29982;168;6
29983;131;7
29984;892;5
29985;720;4
29986;726;1
29987;186;4
29988;878;6
29989;169;8
29990;951;5
29991;871;4
29992;159;5
29993;1028;14
29994;728;8
29995;1010;32
29996;1653;3
29997;762;7
29998;244;6
29999;1533;37
30000;433;7
30001;153;4
30002;553;3
30003;1012;12
30004;152;1
30005;174;9
30006;168;7
30007;162;3
30008;1232;11
30009;137;8
3001;149;3
30010;669;11
30011;1114;13
30012;917;7
30013;1005;9
30014;153;7
30015;1087;3
30016;1168;51
30017;188;8
30018;125;4
30019;725;7
30020;756;16
30021;177;7
30022;893;16
30023;927;4
30024;830;5
30025;584;3
30026;832;3
30027;784;5
30028;115;1
30029;175;12
30030;156;2
30031;1307;2
30032;979;9
30033;818;6
30035;758;4
30036;546;2
30037;817;6
30038;748;9
30039;922;5
30040;131;2
30041;786;8
30042;1012;17
30043;145;2
30044;931;14
30045;167;2
30046;867;4
30047;127;2
30048;187;5
30049;771;5
30050;1432;3
30051;187;4
30052;826;7
30053;1095;48
30054;851;5
30055;720;3
30056;1219;9
30057;1156;29
30058;717;3
30059;845;4
30060;701;7
30061;1041;10
30062;880;13
30063;151;3
30064;1103;39
30065;187;6
30066;954;7
30067;1007;13
30068;1036;4
30069;794;3
30070;181;8
30071;144;4
30072;158;6
30073;820;10
30074;1259;5
30075;160;6
30076;814;9
30077;1036;14
30078;984;13
30079;919;9
3008;117;4
30080;140;7
30081;131;2
30082;711;1
30083;147;1
30084;131;4
30085;1829;54
30086;876;6
30087;867;10
30088;177;2
30089;993;24
30090;178;4
30091;1142;1
30092;1232;3
30093;119;2
30094;1073;2
30095;845;11
30096;150;4
30097;134;3
30098;160;4
30099;1082;12
30100;650;10
30102;1027;25
30103;1229;9
30104;1086;7
30105;1092;35
30106;194;4
30107;1169;7
30108;1250;78
30109;126;2
3011;124;3
30110;164;2
30111;148;17
30112;764;4
30113;131;6
30114;145;8
30115;145;3
30116;122;1
30117;328;2
30118;187;1
30119;117;1
30120;182;3
30121;118;4
30122;125;3
30124;694;1
30125;117;3
30126;135;6
30127;126;8
30128;131;8
3013;123;2
30130;175;2
30133;122;6
30134;357;1
30135;117;4
30136;484;1
30139;162;1
3014;147;1
30140;126;3
30141;122;2
30142;124;5
30144;127;1
30145;123;1
30150;123;2
30152;147;4
30153;170;2
30154;160;3
30156;147;1
30157;123;5
30159;126;4
30160;132;4
30161;123;1
30162;125;7
30163;130;2
30164;133;1
30165;126;5
30166;118;2
30167;899;5
30168;134;1
30169;124;5
30171;119;11
30172;134;1
30173;150;1
30174;163;1
30175;140;3
30176;156;3
30177;827;1
30178;120;6
30181;124;1
30182;128;3
30186;119;1
30187;125;13
30188;119;8
30189;160;1
30190;115;1
30191;136;7
30192;186;3
30194;133;1
30196;125;2
30197;129;2
30199;136;6
30200;129;4
30202;129;3
30203;134;2
30204;131;4
30205;127;4
30215;143;5
30265;172;3
3028;119;1
30300;1654;1044
30301;873;544
30302;1079;408
30303;1664;572
30304;1833;257
30305;1451;67
30306;292;330
30307;1121;423
30308;972;269
30309;1624;69
30310;1883;366
30311;1089;156
30312;459;25
30313;565;13
30315;127;4
30316;1684;10
30373;1631;210
30374;1649;232
30375;2191;26
30376;1972;415
30377;1772;41
30378;1869;134
30379;1602;42
30380;1904;197
30381;1870;283
30382;1475;45
30383;1541;107
30384;1747;90
30385;1645;185
30386;1738;413
30387;1880;228
30388;1719;300
30389;1753;312
30390;1512;277
30391;1711;183
30392;1733;274
30393;1264;262
30394;1627;328
30395;1854;133
30396;1482;161
30397;1390;260
30398;1553;86
30399;1225;77
30400;1512;635
30401;1544;393
30402;1502;471
30403;1693;611
30404;1536;334
30406;1913;2
30407;1542;1
30408;1772;1
30444;127;4
30445;613;1
30446;524;2
30447;164;24
30448;357;2
30449;895;3
30450;528;4
30451;1715;7
30452;155;2
30453;678;1
30455;965;3
30456;134;25
30457;380;1
30458;486;19
30461;1417;14
30462;1202;4
30463;1190;1
30464;146;1
30465;1135;11
30466;308;57
30467;1213;7
30468;456;2
30470;1752;5
30471;1383;3
30472;229;6
30474;1456;9
30476;849;4
30477;1465;14
30479;437;8
30480;1892;1
30481;1249;6
30483;517;26
30484;1162;2
30485;224;7
30486;346;28
30488;1281;7
30489;1128;3
30492;1122;1
30493;351;4
30494;322;3
30495;175;4
30496;1341;105
30498;623;7
30499;312;6
30500;324;21
30501;1267;2
30502;1056;13
30503;904;1
30504;412;11
30505;2492;1
30507;1496;3
30508;1441;9
30510;551;6
30511;606;8
30512;216;1
30513;205;4
30515;291;8
30516;135;2
30517;1930;5
30518;1325;15
30519;1344;1
3052;161;1
30521;118;2
30522;2209;1
30523;391;3
30524;289;6
30525;1390;2
30526;808;31
30527;1065;5
30528;126;2
30529;1090;10
3053;2517;1
30530;120;2
30532;1296;17
30533;1665;3
30534;894;8
30536;1412;23
30537;1005;3
30538;297;34
30539;491;13
30540;1290;3
30541;134;2
30542;149;1
30543;274;38
30544;309;10
30545;630;1
30546;521;3
30547;294;11
30548;883;2
30559;127;397
30560;131;5
30561;120;8
30562;125;13
30563;151;2
30564;140;12
3057;143;3
30578;126;4
30579;128;10
3058;122;2
30585;175;8
30587;139;8
30590;119;50
30591;133;4
30593;132;6
30598;133;8
30604;126;4
30608;125;6
30613;165;8
30614;133;2
30615;121;4
30617;122;4
3062;132;2
30620;136;18
30625;115;2
30626;119;6
30629;118;4
30631;121;2
30632;173;5
30633;145;20
30634;145;3
30635;166;1
30637;125;7
3064;123;1
30641;149;12
30642;145;18
30645;147;2
30650;141;6
30654;144;5
30656;1805;33
30657;1866;37
30658;1806;32
30659;1134;50
30660;1756;44
30661;1631;54
30662;154;20
30663;1596;41
30676;1673;100
3072;124;1
3074;137;2
3076;152;14
3077;1659;7
3079;125;2
3089;124;4
3093;117;13
3098;1934;9
3100;2194;5
3101;128;5
3106;2041;5
3107;1705;4
3108;144;6
3111;152;4
3112;161;3
3115;1950;4
3116;732;9
3117;128;2
3131;125;2
3137;130;5
3139;160;1
3141;135;1
3145;1472;3
3147;1876;32
3149;156;1
3150;160;2
3151;1810;16
3157;2226;5
3162;2240;2
3163;129;1
3164;153;1
3167;139;1
317;185;1
3171;2313;19
3173;142;2
3174;116;1
3179;154;1
3180;126;1
3184;166;1
3185;140;1
3187;137;3
3188;140;3
3189;1511;140
319;1376;2
3195;2221;2
3196;157;1
3198;2073;3
3199;271;6
3200;2476;2
3202;673;15
3205;120;2
3206;879;48
3207;159;16
3208;939;2
3210;142;2
3211;2215;10
3212;911;35
3214;1173;17
3216;134;2
3217;133;4
3218;1135;56
3222;134;18
3226;1557;18
3230;1887;17
3239;1711;1
324;159;4
3241;131;4
3247;1684;37
325;243;2
3250;133;1
3252;1812;27
3253;145;2
3254;125;3
3255;1757;51
3257;2000;47
3259;2464;1
3260;131;1
3261;143;20
3263;133;5
3268;2032;23
3277;129;9
3280;148;3
3282;139;2
3284;138;5
3287;155;3
3288;117;2
3289;125;2
329;1850;3
3290;136;2
3291;142;1
3294;134;2
3298;140;2
3301;128;1
3303;139;2
3309;143;1
3310;139;2
3316;128;1
3318;125;5
3320;121;4
3321;125;2
3323;117;2
3325;152;1
3327;131;5
3336;119;2
3338;126;3
33382;1776;3
33384;1419;2
33385;2577;1
33387;1617;1
33388;120;2
33389;1516;1
33391;1560;1
33394;2036;2
33395;128;2
33396;1537;1
33398;2254;33
3340;139;4
33402;1912;1
33406;141;5
33408;119;7
33409;1706;3
3341;149;2
33411;1846;20
33412;1943;3
33414;1740;118
33416;1662;18
33417;2337;12
33422;147;22
33425;123;6
33428;137;4
33430;1582;52
33438;135;7
3344;125;3
33441;116;2
33442;2063;1
33443;2582;1
33444;2350;3
33447;1783;5
33448;1797;10
3345;127;2
33455;137;3
33459;1673;15
3346;2120;123
33460;118;7
33463;1492;5
33465;1813;1
33466;127;4
33468;1544;2
33471;1601;22
33473;1918;33
3348;120;1
33482;1933;26
33485;1829;62
33489;1954;6
3349;2066;54
33495;125;9
33500;1882;16
33501;2451;25
33503;1740;1
33507;119;2
33508;163;7
33511;117;4
33512;2127;35
33514;1848;56
33515;1819;34
33516;1833;45
33517;1961;3
33518;1830;32
33519;1829;60
33520;128;7
33547;151;1
33548;232;206
33549;322;127
33550;147;17
3356;1955;65
33563;406;28
33567;145;30
33572;177;36
3358;2047;142
3359;118;3
3362;134;1
3363;125;4
33640;1459;2
33643;959;1
33644;1180;2
33647;1372;3
33649;1305;1
33650;169;2
33651;1348;3
3367;135;7
33688;1394;3
33689;124;3
3369;154;2
33690;1065;4
33691;1080;4
33693;1550;1
33694;1078;26
33695;684;4
33696;793;10
33697;1092;20
3371;121;1
33713;1136;27
33714;1428;10
33715;1203;18
33716;907;11
33717;1079;5
33718;854;4
33719;875;3
33720;939;3
33721;1189;8
33722;1341;1
33723;1153;3
33724;1093;25
33725;965;13
33726;1157;17
33728;1338;1
33729;794;9
33730;181;2
33731;1099;6
33732;1304;3
33733;956;3
33734;680;2
33735;1173;3
33736;955;1
33737;1131;3
33738;1020;18
33739;1184;5
33740;1146;1
33741;1029;5
33742;918;2
33743;834;4
33744;1132;7
33745;1197;7
33746;775;2
33747;645;2
33748;941;1
33749;1199;9
3375;124;7
33750;118;1
33751;1150;2
33753;978;13
33754;962;8
33755;1222;27
33756;729;10
33757;994;6
33758;1103;7
33759;1475;5
33760;1111;16
33761;1368;17
33762;861;15
33763;1850;18
33764;955;8
33765;1218;18
33766;1143;6
33767;827;11
33768;977;4
33769;967;15
33770;876;5
33771;1434;3
33772;1249;18
33773;962;11
33774;834;10
33775;875;6
33776;1031;11
33777;987;11
33778;1230;11
33779;1268;8
33780;1023;11
33781;1693;15
33782;847;9
33783;1014;8
33784;844;10
33785;1168;12
33786;1100;9
33787;1019;11
33788;854;5
33789;934;13
3379;152;1
33790;1099;13
33791;1533;7
33792;895;6
33793;1066;9
33794;1012;7
33795;1090;10
33796;1230;11
33797;1024;5
33798;1005;6
33799;934;9
3380;117;1
33800;641;11
33801;775;14
33802;862;4
33803;1810;19
33804;839;8
33805;919;10
33806;1266;16
33807;705;4
33808;1795;13
33809;1178;14
3381;155;2
33810;846;9
33811;1070;28
33812;1335;14
33813;740;5
33814;1144;14
33815;915;14
33816;767;5
33817;798;8
33818;1391;10
33819;794;8
33820;1310;17
33821;997;12
33822;1000;22
33823;716;3
33824;1526;9
33825;901;16
33826;986;7
33827;1025;13
33828;1058;7
33829;1189;17
33830;1300;19
33831;936;14
33832;973;11
33833;1026;12
33834;1316;9
33835;970;8
33836;1227;3
33837;1036;3
33838;863;5
33839;708;1
33840;700;1
33841;1396;8
33842;782;6
33843;1049;13
33845;850;13
33846;1495;7
33847;1242;9
33848;1596;15
33849;1373;36
33850;117;9
33851;116;2
33852;127;10
33853;116;10
33854;117;19
33855;123;14
33856;125;9
33857;122;5
33858;121;11
33859;130;8
3386;166;1
33864;490;3
33865;612;14
33866;130;1
33869;122;1
3387;159;5
33873;455;1
33876;1296;3
33877;132;4
33878;127;7
3388;118;3
33880;119;4
33882;129;2
33883;321;1
33884;127;9
33885;124;3
3389;140;1
33890;125;9
33891;749;7
33894;127;2
33895;199;6
33898;122;4
33899;116;4
3390;144;3
33900;1598;2
33904;132;5
33906;1032;3
33907;1920;3
33908;120;11
33909;130;3
3391;145;8
33910;116;4
33911;124;5
3392;127;1
33928;124;2
33933;351;9
3395;144;2
3396;132;2
3397;133;1
3398;124;3
3399;130;2
3400;159;3
3401;141;5
3402;115;2
3403;126;1
3407;145;1
3409;141;3
3410;127;2
3413;131;8
3414;130;1
3420;2337;593
3421;2537;154
3422;2275;280
3423;2290;537
3424;2029;17
3425;1826;18
3426;159;17
3427;2136;55
3428;1907;3
3429;147;22
3430;2144;60
3431;2142;29
3432;2053;8
3433;2024;17
3434;2071;207
3435;2029;50
3436;2064;124
3437;2049;116
3438;2522;32
3439;1949;74
3440;2054;14
3441;2072;107
3442;2386;7
3443;138;49
3444;2293;268
3445;1949;57
3446;2170;4
3447;146;16
3448;124;11
3449;1699;16
3450;133;3
3451;2154;5
3452;152;32
3453;2072;128
3454;1931;17
3455;2137;3
3456;1894;52
3457;1868;36
3458;2101;3
3459;130;12
3460;1842;12
3461;1979;15
3462;2448;116
3463;2315;7
3464;146;20
3465;1865;74
3466;1966;67
3467;2104;8
3468;1968;35
3469;2110;50
3470;152;9
3472;152;28
3473;1785;85
3474;1897;105
3475;2064;120
3476;2178;132
3477;2091;50
3478;1913;49
3479;2329;11
3480;2013;35
3481;1689;12
3482;2031;102
34853;1860;1
35093;480;14
3588;207;50
3591;800;44
3604;331;86
3605;644;50
3608;366;243
3609;462;59
3612;634;163
3613;702;191
3614;806;128
3615;435;99
3616;896;45
3621;681;471
3622;791;431
3623;762;455
3624;627;384
3625;914;137
3626;663;120
3627;1136;100
3628;708;135
3629;2520;9
3630;325;11
3631;151;4
3632;622;403
3633;457;296
3635;518;53
3636;206;88
3638;813;44
3639;255;1094
3641;296;1413
3642;308;1327
3644;231;172
3645;206;260
3648;116;1
365;118;1
3652;160;1
3653;131;4
3654;121;2
3655;128;1
3656;117;2
3657;140;2
3661;116;1
3664;166;1
3676;2049;5
3677;118;2
3682;2040;14
3685;148;1
3687;122;9
3688;1990;4
3693;931;1
3694;2100;4
3697;149;1
37;1999;4
3700;128;3
3701;2019;8
3704;132;2
371;116;2
3710;1897;10
3711;133;2
3718;2064;2
3733;145;1
3736;146;1
3740;130;1
3742;130;2
3744;2415;1
3746;115;1
3751;146;1
3752;120;1
3753;2092;3
3754;131;2
3756;1896;1
3759;122;2
3761;2236;17
3762;125;2
3766;129;4
3767;2556;25
3770;119;2
3774;138;3
3775;2331;1
3780;1146;1
3784;127;1
3790;119;1
3792;902;1
3793;117;2
3796;2600;3
3797;127;1
3799;2091;2
38;2362;8
3802;139;1
3806;120;1
3808;2296;3
3810;127;3
3820;1935;1
3821;126;1
3825;144;9
3831;126;1
3835;119;1
3841;123;2
3842;2048;1
3843;135;3
3845;139;1
3847;2030;3
3852;121;1
3853;130;13
3854;126;2
3859;120;1
3860;2391;1
3861;131;5
3865;1872;5
3866;128;1
3867;2463;1
3872;159;1
3874;2301;2
3880;2436;2
3882;158;1
3883;1959;5
3884;146;1
3888;145;18
3890;900;1
3895;124;1
3898;124;2
39;2262;16
3900;124;1
3902;1979;1
3908;124;1
3910;2497;2
3916;1873;2
3917;2316;1
3919;2477;1
3920;2583;1
3921;126;3
3926;124;1
3930;150;3
3936;117;1
3939;139;2
3942;131;2
3943;124;1
3944;2319;5
3945;2094;16
3949;1984;3
395;682;5
3954;1453;3
3956;132;2
396;248;4
3969;2579;2
3970;1466;2
3973;116;2
3977;1977;6
3979;934;1
398;647;5
3980;126;4
3983;145;3
3988;125;7
39888;118;1
399;249;7
3991;124;4
3993;2015;1
3994;118;5
3999;2480;2
4;127;2
40;2391;2
400;456;3
4001;118;1
40011;129;1
40024;1895;6
40038;2561;1
40044;2039;1
40063;1860;4
4007;124;2
401;525;13
40102;1920;17
40109;2254;2
4011;126;2
40123;2015;24
40132;2305;68
4014;134;4
40142;2051;6
402;151;3
4022;128;1
4023;1894;1
4025;118;1
40277;119;1
40326;1920;5
4033;1261;2
40385;126;1
404;518;2
4040;2230;2
4042;2047;1
4045;124;1
40525;2550;1
4053;147;4
4054;119;1
4055;2453;1
4056;2214;2
4059;147;1
4063;124;1
4064;2169;3
4065;119;1
4066;159;3
4069;2054;9
407;157;1
4070;135;2
4072;1891;2
4078;2288;9
4080;128;1
4083;2205;12
4084;126;1
4087;115;1
4088;2262;1
4092;128;2
4097;123;1
410;508;4
4102;2312;11
4103;127;1
4108;2107;1
4114;2156;2
4117;2158;5
4125;119;2
4126;1983;16
4130;2063;2
4137;115;2
4139;203;1
414;385;2
4143;126;1
4145;898;1
4150;119;2
4160;2394;6
4161;131;1
4164;2462;4
4166;121;1
4180;126;5
4183;118;2
4184;2494;1
4187;117;2
4188;133;2
4189;120;3
419;168;1
4198;117;1
420;189;1
4200;137;5
4211;136;1
4213;1961;7
422;326;2
4222;119;1
4223;118;1
4234;2240;2
4240;2093;1
4241;2247;10
4242;2051;1
4245;1864;1
4247;124;1
4248;2334;4
4249;154;1
4250;2066;12
4252;121;2
4256;125;1
4258;2226;1
4262;2274;12
4263;2059;2
4265;2563;1
4267;2371;6
4268;2458;1
4269;2496;5
4271;162;1
4274;1886;3
4275;119;1
4277;1668;33
4279;139;1
4280;1660;9
4281;119;1
4284;125;6
4285;115;2
4286;120;1
4287;1432;4
4288;2038;1
4292;115;1
4295;125;4
4296;1255;1
4297;121;1
4299;127;1
43;128;2
430;1728;5
4303;126;1
43067;2352;52
4307;119;4
43072;1991;4
43079;1950;3
4309;744;1
431;602;1
4312;1383;15
43129;1933;12
43142;2024;1003
43157;130;24
43158;130;28
43159;147;34
4316;966;3
43160;126;14
4318;2293;2
43182;131;3
4319;2044;2
432;543;4
4322;1516;5
4323;2596;1
4325;2115;2
4326;1261;1
4328;1565;11
433;394;4
4330;2363;3
4334;2191;20
434;151;1
4341;1049;7
4349;1087;8
435;255;4
4352;1162;11
4357;2358;5
4359;199;3
436;292;5
4362;1555;3
4363;1990;6
4366;2324;5
4367;977;2
43675;274;4
4368;172;1
437;666;3
4371;1183;3
43717;1602;2
43719;2223;3
43720;2081;5
43721;1849;2
43722;1849;6
43723;1659;9
43724;1728;12
43725;144;3
43726;133;2
43727;2028;3
43728;1638;20
43729;1813;47
43730;153;2
43733;2602;11
43735;2339;9
43736;1407;71
43738;2454;18
43740;124;6
43742;120;2
43745;2312;1
43746;145;11
43749;144;12
4375;1983;4
43751;2505;11
43752;1641;41
43753;120;1
43754;2415;7
43755;127;14
43756;2051;1
43757;2198;71
43758;1706;66
43759;1909;1
4376;131;1
43760;1386;8
43761;144;2
43763;1428;11
43764;123;8
43767;1597;15
43768;153;8
43769;2468;7
4377;127;1
43770;1621;1
43771;2450;1
43772;2500;7
43773;122;3
43774;144;7
43775;2367;21
43777;2603;3
43778;2336;74
4378;1933;2
43780;2578;1
43787;1400;6
43788;2099;1
43789;2480;45
43790;153;8
43791;136;4
43792;2597;16
438;749;5
4380;2098;4
4382;124;1
4383;126;10
43864;1354;30
43865;1323;1293
43866;126;14
439;414;4
4392;2037;9
43924;126;41
43929;1695;59
43931;866;1
440;487;9
44002;820;11
44003;474;41
44004;219;95
44005;220;180
44006;221;68
44007;220;160
44008;218;80
4409;2207;3
441;439;10
442;481;3
4422;124;2
443;469;7
4435;2337;1
4436;2122;5
4437;118;2
4439;2155;57
444;504;4
4440;1957;71
4441;2069;40
44413;164;1
44415;152;6
4442;1981;47
4443;2356;64
4444;2183;41
44446;127;2
44447;119;6
4445;2357;2
44453;166;3
44454;2360;1
44455;125;6
44458;127;5
4446;115;6
4447;1747;12
4448;140;62
4449;1973;79
44490;188;1
44494;177;2
44496;952;3
44499;123;3
445;307;5
4450;2199;53
44501;173;1
44518;162;11
44527;126;14
44528;127;27
44529;143;19
4453;2107;17
44530;146;11
44531;155;24
44532;181;25
44533;180;8
44534;135;35
44535;157;24
44536;145;7
44537;146;16
44538;140;23
44539;155;142
4454;1804;4
44540;151;6
44541;155;17
44542;138;7
44543;146;14
44544;146;11
44545;153;21
44546;136;29
44547;174;9
44548;156;7
44549;166;11
4455;2276;5
44550;139;16
4456;1687;51
4457;153;29
4458;134;11
446;1681;11
4460;153;37
4461;118;2
4463;157;24
4464;2073;255
4465;2221;71
447;258;16
448;351;5
44867;1658;2
44868;2118;3
44869;2121;1
44871;2528;1
44872;154;6
450;310;8
451;139;2
4513;158;3
452;483;1
453;276;12
4534;123;2
45354;126;2
45358;120;2
45359;146;1
4536;2024;4
45361;1732;5
454;190;3
4540;123;3
4547;142;4
455;477;1
4550;144;1
4557;583;1
456;1545;9
4564;117;1
4566;147;2
4567;257;1
457;357;6
4577;147;1
458;143;2
4582;2122;6
459;808;5
4592;115;2
4598;132;6
460;209;4
4601;2414;2
461;379;3
4618;118;1
462;201;8
4626;142;1
463;304;6
4630;2353;1
464;418;1
465;498;5
4651;169;2
466;606;6
4662;155;1
467;461;4
4673;137;1
4677;154;1
468;276;3
4685;1849;1
46877;1757;32
46878;1739;19
46879;1742;13
46880;2019;39
46881;1988;33
46882;1723;6
46883;1933;97
46884;1886;51
46885;1785;45
46886;1988;48
46887;2010;94
46888;1785;49
46889;1169;17
46890;1662;9
46891;1394;66
46892;1734;87
46893;1616;91
46894;378;34
46895;419;33
46896;685;41
46897;1433;74
46898;800;72
46899;993;82
469;361;3
4690;126;3
46900;1722;111
46901;492;43
46902;300;17
46903;2128;60
46904;629;11
46905;1065;109
46906;1916;77
46907;698;71
46908;1174;24
46909;377;36
46910;508;20
46911;1073;20
46912;267;15
46913;403;31
46914;889;39
46915;775;18
46916;514;24
46917;1833;43
46918;1338;78
46919;354;21
46920;1244;17
46921;1903;89
46922;978;27
46923;1150;37
46924;954;30
46925;396;22
46926;801;41
46927;1734;86
46928;1505;38
46929;948;18
46930;1302;37
46931;1667;33
46932;1848;29
46933;1173;28
46934;1796;15
46935;1778;17
46936;1744;31
46937;2079;35
46938;814;32
46939;722;15
46940;1912;41
46941;1996;65
46942;1053;29
46943;1773;48
46944;851;54
46945;836;65
46946;1764;74
46947;1053;56
46948;536;105
46949;775;82
46950;589;113
46951;1692;110
46952;682;107
46953;1718;61
46954;1929;78
46955;1451;55
46956;1097;70
46957;1804;69
46958;714;92
46959;1855;100
46960;425;191
46961;875;83
46962;1667;339
46963;1975;119
46964;1014;77
46965;1030;106
46966;1011;101
46967;1481;59
46968;991;72
46969;933;75
46970;1308;80
46971;1697;63
46972;1914;83
46973;1347;113
46974;1817;118
46975;1931;49
46976;696;22
46977;476;28
46978;417;22
46979;1464;23
4698;115;2
46980;1252;28
46981;1854;41
46982;1816;25
46983;1783;73
46984;978;60
46986;1636;72
46987;686;24
46988;1742;14
46989;2261;53
46990;746;77
46991;1974;5
46992;1629;26
46993;699;23
46994;1638;53
46995;1609;97
46996;806;41
46997;720;35
46998;1008;24
46999;1042;18
470;259;4
47000;889;29
47001;1863;43
47002;729;37
47003;622;28
47004;1742;20
47005;1214;53
47006;830;29
47007;944;31
47008;1848;35
47009;1392;6
47010;1520;33
47011;2136;7
47012;915;31
47013;1680;8
47014;555;79
47015;1856;43
47016;1837;60
47017;1614;33
47018;1764;38
47019;126;6
47020;142;5
47021;801;8
47022;120;2
47023;241;5
47025;119;3
47029;127;1
47030;125;3
47032;134;5
47037;124;2
4704;2564;3
47041;1030;23
47042;2105;1
47043;139;3
47044;121;1
47046;141;19
47049;126;3
4705;2156;93
47052;149;27
47054;120;4
47055;120;1
47056;118;5
47057;1064;13
47061;682;14
47064;119;2
47066;147;2
47067;127;3
47071;135;1
47072;139;5
47074;124;8
47075;146;4
4709;2176;95
471;495;4
4712;2339;62
4714;149;2
4716;2450;64
47176;154;6
4719;2458;76
472;634;3
47202;524;15
47203;419;24
47204;498;24
47205;932;9
47206;411;30
47207;492;32
47208;1037;16
47209;316;18
47210;286;16
47211;232;24
47212;959;37
47214;594;18
47215;513;13
47216;174;22
47217;1391;12
47218;808;21
47219;304;4
47220;884;27
47221;343;22
47222;846;11
47223;720;6
4724;2071;75
47245;1071;18
4725;2274;83
4726;2308;59
4729;2079;60
473;424;2
4730;144;4
4731;2128;84
4733;2392;82
4734;2026;1
47341;149;31
4737;122;2
4738;2212;111
4739;1623;1
47399;1819;17
474;574;4
47400;153;2
4741;2074;39
4742;2165;7
4743;2039;50
4744;2137;46
4745;165;1
4747;1959;71
4748;2533;3
4749;1787;9
475;222;2
4751;152;1
4752;1949;1
476;406;8
4764;2230;97
4765;2007;41
4766;2150;43
4767;2354;13
4768;2338;52
477;302;10
4771;159;1
4772;2317;3
4775;127;2
4777;139;4
4778;1887;3
478;296;4
4780;120;22
4781;133;9
4782;152;6
4784;153;2
4785;122;1
4786;153;1
4787;145;1
4788;132;2
4789;144;14
479;178;8
4790;155;1
4791;143;4
4792;139;6
4793;132;33
4794;137;12
4795;141;1
4796;151;9
4797;135;2
4798;139;4
4799;145;4
480;355;6
4804;146;1
481;279;1
4810;133;1
4811;165;1
4814;129;1
48145;123;9
48146;1870;11
48147;1648;6
4815;2451;5
48151;1840;3
48153;1892;2
4816;2080;9
482;347;14
4822;139;2
483;247;3
4831;138;2
48389;134;18
4839;149;2
48392;120;4
48394;124;17
48399;148;9
484;360;4
48402;140;9
48408;149;20
48415;1791;23
48417;117;7
48420;132;9
48422;118;1
48423;154;23
48428;142;6
48429;117;7
48435;133;43
48440;155;1
48450;140;4
48453;147;9
48456;116;7
48459;126;39
48463;145;6
48465;135;4
48467;124;15
4847;143;1
48478;115;14
4849;154;1
48493;2362;3
485;1876;7
48502;124;3
48505;121;2
